coding_item_id,actor_code,actor_id,element_code,element_id,time_slice_id,cutoff_date,reference_statement,fact_ids,link_roles,fact_count,fragment_count,recorded_independence_groups,recorded_group_count,disputed_fact_count
1abf6c8c-5295-5837-b75f-00c55daf3a8c,KZ.ZHANAOZEN.ACTOR.GU01,d31904bd-a9e2-52bc-886d-d959d8e6f86d,KZ.ZHANAOZEN.ELEMENT.E02,74872afd-9303-5d0f-a70a-d5fe7154645c,434c73fa-abfb-54f1-85cf-821431bf098b,2011-12-15,Существующий порядок оплаты и социальных гарантий работников нефтегазового сектора является приемлемым и не требует существенного изменения.,a1aa979d-e0fe-51b3-8806-52d70351176b;a208b943-38f3-5cd6-ad35-1f1de17a00e4;b3f06151-26b2-5c65-bb42-17beab9f4ebf;ddd0115a-c248-5be6-af50-ecc9c3eb26d5,PRIMARY_SUPPORT;SECONDARY_SUPPORT,4,5,IG-IPHR-KIBHR;IG-RFERL,2,0
190e3801-e98f-559d-b055-04502db625e9,KZ.ZHANAOZEN.ACTOR.GU01,d31904bd-a9e2-52bc-886d-d959d8e6f86d,KZ.ZHANAOZEN.ELEMENT.E05,728c8406-ba99-5787-9557-933b5670be7c,434c73fa-abfb-54f1-85cf-821431bf098b,2011-12-15,"Существующие механизмы представительства, переговоров и коллективных действий обеспечивают достаточный доступ к выражению и согласованию интересов.",8e94c834-42cf-5db0-8374-f132cb90ee23;9e287255-de7d-5c16-9a21-291261933514;d5b67aa9-fc15-5635-9d13-5db5623fb876;daaf4605-8aa1-5463-876d-e32f561a0e1c,PRIMARY_SUPPORT;SECONDARY_SUPPORT,4,4,IG-LADA;IG-RFERL,2,0
951f300c-27d0-5a09-b312-e3fdad147f54,KZ.ZHANAOZEN.ACTOR.GU01,d31904bd-a9e2-52bc-886d-d959d8e6f86d,KZ.ZHANAOZEN.ELEMENT.E06,0ca209e6-ca1a-5751-b27e-cbd0d180ffa9,434c73fa-abfb-54f1-85cf-821431bf098b,2011-12-15,Существующие правоохранительные и судебные процедуры реагирования на трудовой конфликт достаточны и соразмерны с точки зрения данного актора.,136cb85c-abcb-5c65-a4ad-c118a560fca3;5f708929-3f45-50d7-820d-2a72b84f83de;98d4666a-d2e2-5fa3-817b-5ee545d9eda9;a0955cfa-c21d-574b-9af0-abe5376d40de,PRIMARY_SUPPORT;SECONDARY_SUPPORT,4,5,IG-KZ-OSCE;IG-RFERL;IG-US-OSCE,3,0
bcbda52d-282f-5567-a4ce-f576f6f13a35,KZ.ZHANAOZEN.ACTOR.GU02,4c215889-7a31-56ae-8a60-cc546c915241,KZ.ZHANAOZEN.ELEMENT.E02,74872afd-9303-5d0f-a70a-d5fe7154645c,434c73fa-abfb-54f1-85cf-821431bf098b,2011-12-15,Существующий порядок оплаты и социальных гарантий работников нефтегазового сектора является приемлемым и не требует существенного изменения.,08f78cea-bfce-5bc4-85fd-6bdd55eb72e3;614c3bbd-0832-50d0-8c39-5cbab173c0aa;a59e3030-d1e6-51b5-a715-0514b4d06b43,PRIMARY_SUPPORT;SECONDARY_SUPPORT,3,3,IG-AMNESTY;IG-RFERL,2,0
bc34ea72-a9ac-5e81-ab20-3f2efb729872,KZ.ZHANAOZEN.ACTOR.GU02,4c215889-7a31-56ae-8a60-cc546c915241,KZ.ZHANAOZEN.ELEMENT.E05,728c8406-ba99-5787-9557-933b5670be7c,434c73fa-abfb-54f1-85cf-821431bf098b,2011-12-15,"Существующие механизмы представительства, переговоров и коллективных действий обеспечивают достаточный доступ к выражению и согласованию интересов.",4e55576e-cc85-5c77-adc4-b0d571b83502;9e287255-de7d-5c16-9a21-291261933514;c73a9fc6-181f-5a5a-84b3-f6885b4e77ce,PRIMARY_SUPPORT;SECONDARY_SUPPORT,3,3,IG-IPHR-KIBHR;IG-RFERL,2,0
258efca3-9f6e-550b-8b80-bf27b70424b0,KZ.ZHANAOZEN.ACTOR.GU03,6e5f84f6-8988-5e72-8fbd-bf67d4c8bb45,KZ.ZHANAOZEN.ELEMENT.E04,2fecb360-274b-55da-a7d4-6020a87de286,434c73fa-abfb-54f1-85cf-821431bf098b,2011-12-15,Существующий доступ местных жителей к нефтегазовым рабочим местам достаточен и не требует существенного расширения.,3a9fb283-1682-5dd5-9987-3efd5d5d95d7;483c0c71-c46e-5bd7-9a90-f71921f10e62;abecfa8f-31bb-57f0-8a9e-2496e9416609;bda3f514-beea-5126-92aa-89fc4824f075;f25ddd8f-0810-5fdc-97cb-647c9d38074f,PRIMARY_SUPPORT;SECONDARY_SUPPORT,5,5,IG-AZATTYQ;IG-EURASIANET;IG-RFERL,3,0
39d9db22-402b-59e7-a000-63c6d85c3435,KZ.ZHANAOZEN.ACTOR.GU03,6e5f84f6-8988-5e72-8fbd-bf67d4c8bb45,KZ.ZHANAOZEN.ELEMENT.E05,728c8406-ba99-5787-9557-933b5670be7c,434c73fa-abfb-54f1-85cf-821431bf098b,2011-12-15,"Существующие механизмы представительства, переговоров и коллективных действий обеспечивают достаточный доступ к выражению и согласованию интересов.",42cc7a23-29c1-5522-8255-e81d09eb2f87;8e94c834-42cf-5db0-8374-f132cb90ee23;9f1fb708-d088-54a8-a5a1-31eea61a4cfa;c33f32e5-3a0f-5d8e-a5f4-a565a53d24cc;d5f30f73-7ddd-55a5-a929-fe61c69b573b;daaf4605-8aa1-5463-876d-e32f561a0e1c;fa48d318-8754-5ee6-9880-b67273843e9a,PRIMARY_SUPPORT;SECONDARY_SUPPORT,7,7,IG-AZATTYQ-2011-11-24;IG-LADA,2,0
3fba0d88-4c72-5d24-b879-52904c88a0e5,KZ.ZHANAOZEN.ACTOR.GU03,6e5f84f6-8988-5e72-8fbd-bf67d4c8bb45,KZ.ZHANAOZEN.ELEMENT.E02,74872afd-9303-5d0f-a70a-d5fe7154645c,434c73fa-abfb-54f1-85cf-821431bf098b,2011-12-15,Существующий порядок оплаты и социальных гарантий работников нефтегазового сектора является приемлемым и не требует существенного изменения.,ddd0115a-c248-5be6-af50-ecc9c3eb26d5;f1354988-add2-5149-938a-4f6a4221d4f1;f25ddd8f-0810-5fdc-97cb-647c9d38074f,PRIMARY_SUPPORT;SECONDARY_SUPPORT,3,3,IG-EURASIANET;IG-RFERL,2,0
cd9eb952-6af0-5708-8703-49673415cbe7,KZ.ZHANAOZEN.ACTOR.GU03,6e5f84f6-8988-5e72-8fbd-bf67d4c8bb45,KZ.ZHANAOZEN.ELEMENT.E06,0ca209e6-ca1a-5751-b27e-cbd0d180ffa9,434c73fa-abfb-54f1-85cf-821431bf098b,2011-12-15,Существующие правоохранительные и судебные процедуры реагирования на трудовой конфликт достаточны и соразмерны с точки зрения данного актора.,136cb85c-abcb-5c65-a4ad-c118a560fca3;5f708929-3f45-50d7-820d-2a72b84f83de;a0955cfa-c21d-574b-9af0-abe5376d40de;d206a449-91fa-558f-89ce-53eddd73be09,PRIMARY_SUPPORT;SECONDARY_SUPPORT,4,5,IG-EU-OSCE;IG-KZ-OSCE;IG-RFERL;IG-US-OSCE,4,0
092a3bde-2c62-5bae-a31d-b5c8751eb201,KZ.ZHANAOZEN.ACTOR.GU04,744feea3-d4d4-5a3c-9d65-394894389e67,KZ.ZHANAOZEN.ELEMENT.E04,2fecb360-274b-55da-a7d4-6020a87de286,434c73fa-abfb-54f1-85cf-821431bf098b,2011-12-15,Существующий доступ местных жителей к нефтегазовым рабочим местам достаточен и не требует существенного расширения.,94255747-5c61-51a9-892f-6a8d17cb3dee;db691c24-5aa1-56b2-bc8a-da33ad1370ba;fd69ed6e-d7ee-5dd2-a058-f10f0dac7429,PRIMARY_SUPPORT;SECONDARY_SUPPORT,3,3,IG-AZATTYQ;IG-LADA,2,0
