fact_id,fact_status,fact_type,fact_statement,fact_time_start,fact_time_end,fact_fragment_link_id,relation,fragment_id,exact_text,fragment_hash,fragment_hash_matches,document_version_id,publication_date,publication_date_precision,captured_at,is_after_cutoff,content_hash,capture_locator,document_id,document_title,source_id,publisher,independence_group,source_url
ffcfa8dd-b358-5790-bcb7-ee8992129dec,PROVISIONAL,OBSERVED_EVENT,К 17 мая 2011 года сотни работников Каражанбаса присоединились к забастовке.,2011-05-17,2011-05-17,175c85ce-57df-5fa8-b38b-209c5adbbeae,SUPPORTS,e197d653-65eb-52b8-902f-02bf0b054328,Hundreds of workers at the Qarazhanbas oil and gas field,9051a16e81b1f575c204f79640aa91988ae56c98b1a4ec22fba032921c76a24e,True,64f97ffe-8d27-5837-86bf-e5851257a76d,2011-05-17,DAY,46258.5,False,02419a24e3be19ff11aef22863d4b6254b3d18f22ab7d223aa6b20403bac4950,zhanaozen_v4_2011_evidence_captures/D01_6d02a123_capture.txt,6d02a123-4cac-527f-9b96-a76af63cc16a,Oil Workers' Strike In Kazakhstan Grows,fad22d7e-a495-55e7-85c3-25b774a3b87e,RFE/RL,IG-RFERL,https://www.rferl.org/a/oil_workers_strike_in_kazakhstan_grows/24177839.html
b3f06151-26b2-5c65-bb42-17beab9f4ebf,PROVISIONAL,ACTOR_CLAIM,Бастующие заявляли требование повышения оплаты труда.,2011-05-17,2011-05-17,1e7fec6b-118a-55ac-9b5e-cbfb14328c2e,SUPPORTS,d3e6a365-8150-545b-8005-c18c4939142b,strikers are demanding a pay rise,fc3fefbdcd67497c70405602e47bb7a3d29bcac9e8ea5faba2dc5cfd68734901,True,64f97ffe-8d27-5837-86bf-e5851257a76d,2011-05-17,DAY,46258.5,False,02419a24e3be19ff11aef22863d4b6254b3d18f22ab7d223aa6b20403bac4950,zhanaozen_v4_2011_evidence_captures/D01_6d02a123_capture.txt,6d02a123-4cac-527f-9b96-a76af63cc16a,Oil Workers' Strike In Kazakhstan Grows,fad22d7e-a495-55e7-85c3-25b774a3b87e,RFE/RL,IG-RFERL,https://www.rferl.org/a/oil_workers_strike_in_kazakhstan_grows/24177839.html
b3f06151-26b2-5c65-bb42-17beab9f4ebf,PROVISIONAL,ACTOR_CLAIM,Бастующие заявляли требование повышения оплаты труда.,2011-05-17,2011-05-17,cbcc9b78-9a8f-569d-b0be-738ec694d301,SUPPORTS,15e6b7e7-98f3-5830-8d5d-ae44862e445a,demanding fair pay and work conditions,086dcc0d8d259aeddb5dc4abbb43dbecfdc2f2474675aa881fe00d2a2f6dadd6,True,e92b6b89-4e75-5f64-ac26-7dd8005c3d56,2011-10-01,MONTH,46258.5,False,ae9021062594bf5692b482841a39842034d940d987f613c030053a5f6b405a68,zhanaozen_v4_2011_evidence_captures/D17_e16804b6_capture.txt,e16804b6-a082-5f9c-acf0-2e4291025136,"Repression of Labor Protests in Kazakhstan — Briefing Note, October 2011",73b0f91b-778e-5238-89ee-636e22196efb,IPHR / Kazakhstan International Bureau for Human Rights,IG-IPHR-KIBHR,https://iphronline.org/wp-content/uploads/2011/10/eng_labor_protests_briefing_paper_oct_2011.pdf
a59e3030-d1e6-51b5-a715-0514b4d06b43,PROVISIONAL,ACTOR_CLAIM,Работники Ersai требовали равной оплаты местных и иностранных работников за одинаковую работу.,2011-05-23,2011-05-23,c732b2cb-a55e-5ba8-95a9-234abbda22ee,SUPPORTS,57cf3759-6ac7-5636-9323-cace6040d2e7,equal payment for local and foreign workers doing the same job,610e39fb9ce9ae26c6bd1eb9ebc237d13872e1df858f9c5db209213c089834bc,True,071bd5f5-b78b-5c19-a38e-17ea82817435,2011-05-23,DAY,46258.5,False,5d6f113842728e8aa82a1651bc63d5cea4a0deafbf44e48ede6469790e6edefe,zhanaozen_v4_2011_evidence_captures/D02_0b7da75f_capture.txt,0b7da75f-95eb-58aa-811f-34f3c56471f6,Striking Oil Workers In Kazakhstan Start Hunger Strike,3c0a9fd3-3326-5220-b97c-e2fb0d483f10,RFE/RL,IG-RFERL,https://www.rferl.org/a/kazakh_oil_workers_start_hunger_strike/24183948.html
614c3bbd-0832-50d0-8c39-5cbab173c0aa,PROVISIONAL,OBSERVED_EVENT,"К 23 мая в конфликте, связанном с Ersai, бастовали несколько сотен нефтяников.",2011-05-23,2011-05-23,369534ab-cdf2-5c6a-b204-959711720e4a,SUPPORTS,60416957-da00-5951-b4da-f5ccb46eca77,Ten of the several hundred oil workers on strike,1d1c4a156bc3621e9b65851c3cfa585a766caedbc7b4b3e1ee28942d9fc02f37,True,071bd5f5-b78b-5c19-a38e-17ea82817435,2011-05-23,DAY,46258.5,False,5d6f113842728e8aa82a1651bc63d5cea4a0deafbf44e48ede6469790e6edefe,zhanaozen_v4_2011_evidence_captures/D02_0b7da75f_capture.txt,0b7da75f-95eb-58aa-811f-34f3c56471f6,Striking Oil Workers In Kazakhstan Start Hunger Strike,3c0a9fd3-3326-5220-b97c-e2fb0d483f10,RFE/RL,IG-RFERL,https://www.rferl.org/a/kazakh_oil_workers_start_hunger_strike/24183948.html
a208b943-38f3-5cd6-ad35-1f1de17a00e4,PROVISIONAL,OBSERVED_EVENT,26 мая 14 работников ОзенМунайГаза начали голодовку.,2011-05-26,2011-05-26,4e0565a6-c170-51e9-9997-a7190eb2b8a0,SUPPORTS,d521033f-59ce-5518-9227-b5fe9cb7570f,Fourteen employees of the OzenMunaiGaz Oil Company,258e18442bacd8552d907615438d8a4da4c405d4095ca13ee3a3f4051ad2f20a,True,ed5b18f5-d4b4-57bf-99db-d59131945ed9,2011-05-26,DAY,46258.5,False,df51bb60f64b9e5cb31bad337983c8f0a892b1245ccccb316c800329b9509da6,zhanaozen_v4_2011_evidence_captures/D03_2c117675_capture.txt,2c117675-d4c1-5125-8f0b-88086e6bb887,More Oil Workers Begin Hunger Strike In West Kazakhstan,041d7f7c-ad6e-50ac-8322-fa21fd7e8ce4,RFE/RL,IG-RFERL,https://www.rferl.org/a/more_oil_workers_hunger_strike_kazakhstan/24206131.html
a1aa979d-e0fe-51b3-8806-52d70351176b,PROVISIONAL,ACTOR_CLAIM,Работники ОзенМунайГаза требовали пересмотра коллективного договора.,2011-05-26,2011-05-26,34c226d3-8e31-5734-ad74-cc42d758ee4f,SUPPORTS,cc839407-9eb7-5e05-acca-70f1577883d4,demanding the revision of the collective contract,280cab66370750738b1f3e917eedf2c571038385e7cd6829763f6a3955de093c,True,ed5b18f5-d4b4-57bf-99db-d59131945ed9,2011-05-26,DAY,46258.5,False,df51bb60f64b9e5cb31bad337983c8f0a892b1245ccccb316c800329b9509da6,zhanaozen_v4_2011_evidence_captures/D03_2c117675_capture.txt,2c117675-d4c1-5125-8f0b-88086e6bb887,More Oil Workers Begin Hunger Strike In West Kazakhstan,041d7f7c-ad6e-50ac-8322-fa21fd7e8ce4,RFE/RL,IG-RFERL,https://www.rferl.org/a/more_oil_workers_hunger_strike_kazakhstan/24206131.html
d752804a-0c2c-5244-b0ef-edacb6dc01e2,PROVISIONAL,OBSERVED_EVENT,27 мая КаражанбасМунай уволил восемь бастующих работников.,2011-05-27,2011-05-27,d44ea444-6610-5107-9ab7-c758fc62d622,SUPPORTS,c91f29dd-8d47-5747-a8df-699438044fff,fired eight workers from among the dozens,0e06d6fb13cc23752145db71e5ef2ee529a6a08ad1a569c46e8aceed3be74a64,True,adbcb401-ba65-5904-95c0-8ef2be653ed1,2011-05-27,DAY,46258.5,False,69532f7e9b56187dba62597ae82b6ee0943abf83c6aae8436dbe2c9ed8fe666f,zhanaozen_v4_2011_evidence_captures/D04_2496aaf4_capture.txt,2496aaf4-f84e-5c67-85e4-015f7e0519ec,Striking Oil Workers Fired In Kazakhstan,4e46c56c-9f35-5dbd-b634-2b6796d90391,RFE/RL,IG-RFERL,https://www.rferl.org/a/striking_oil_workers_fired_in_kazakhstan/24207466.html
9e287255-de7d-5c16-9a21-291261933514,PROVISIONAL,ACTOR_CLAIM,Бастующие требовали снятия ограничений с независимых профсоюзов.,2011-05-27,2011-05-27,dadf11cf-66ca-594f-a7c3-30e4114b4a7a,SUPPORTS,7f0b0752-387d-5def-ba3d-ab11c4f1414b,lifting of restrictions on the activities of independent trade unions,ac6e8cc659989a1ad7641a8c281b51f933f1c71cec3ac21505f917005f7d11fe,True,adbcb401-ba65-5904-95c0-8ef2be653ed1,2011-05-27,DAY,46258.5,False,69532f7e9b56187dba62597ae82b6ee0943abf83c6aae8436dbe2c9ed8fe666f,zhanaozen_v4_2011_evidence_captures/D04_2496aaf4_capture.txt,2496aaf4-f84e-5c67-85e4-015f7e0519ec,Striking Oil Workers Fired In Kazakhstan,4e46c56c-9f35-5dbd-b634-2b6796d90391,RFE/RL,IG-RFERL,https://www.rferl.org/a/striking_oil_workers_fired_in_kazakhstan/24207466.html
136cb85c-abcb-5c65-a4ad-c118a560fca3,PROVISIONAL,OBSERVED_EVENT,После акции в Актау 5 июня были задержаны не менее 37 протестующих.,2011-06-05,2011-06-05,fb265c9c-83c9-53b4-a2aa-3fbc6413a65a,SUPPORTS,04ab9fff-fe17-5b34-8733-f046d1b1ed06,At least 37 protesters were detained.,ab4dc3c216b97bcee60d18ae1d4baaef37cb57874ca34ee2b3f15144387784d0,True,3186a5ae-1c7c-5570-90e6-f6a68b938f59,2011-06-06,DAY,46258.5,False,e1b888b372abc06b8fa68b255b94951d1b07d0cf09b56418bac38119a618c86c,zhanaozen_v4_2011_evidence_captures/D05_c5f122b3_capture.txt,c5f122b3-33f5-58bf-9c14-4d6f79657a59,Two Hospitalized After Oil-Worker Protest In Western Kazakhstan,ddeaf877-0282-52a2-898a-311bd154a72b,RFE/RL,IG-RFERL,https://www.rferl.org/a/kazakhstan_oil_workers_protests/24221366.html
